Wavenumbers	Absorbance	
4000.000	0.04564087	
3999.500	0.0460758	
3999.000	0.04650237	
3998.500	0.04694505	
3998.000	0.04741118	
3997.500	0.04789949	
3997.000	0.04841391	
3996.500	0.04895587	
3996.000	0.04951207	
3995.500	0.05007397	
3995.000	0.05064967	
3994.500	0.05124201	
3994.000	0.05187384	
3993.500	0.05253999	
3993.000	0.05322977	
3992.500	0.05394054	
3992.000	0.05467445	
3991.500	0.05543522	
3991.000	0.05621552	
3990.500	0.05699888	
3990.000	0.05777738	
3989.500	0.05856155	
3989.000	0.05937016	
3988.500	0.06021494	
3988.000	0.06108909	
3987.500	0.06198207	
3987.000	0.06289271	
3986.500	0.0638303	
3986.000	0.0648069	
3985.500	0.06583366	
3985.000	0.0669069	
3984.500	0.06801838	
3984.000	0.06915115	
3983.500	0.07029964	
3983.000	0.07146972	
3982.500	0.07267665	
3982.000	0.07392034	
3981.500	0.07518907	
3981.000	0.07646504	
3980.500	0.07773716	
3980.000	0.07900877	
3979.500	0.08030128	
3979.000	0.08163632	
3978.500	0.08302201	
3978.000	0.08444773	
3977.500	0.08590509	
3977.000	0.08739957	
3976.500	0.08895897	
3976.000	0.09060351	
3975.500	0.09233282	
3975.000	0.09412945	
3974.500	0.09598306	
3974.000	0.09789582	
3973.500	0.09988642	
3973.000	0.1019709	
3972.500	0.1041573	
3972.000	0.1064408	
3971.500	0.1088102	
3971.000	0.1112749	
3970.500	0.1138408	
3970.000	0.1165079	
3969.500	0.1192832	
3969.000	0.122184	
3968.500	0.1252445	
3968.000	0.1284735	
3967.500	0.1318785	
3967.000	0.1354583	
3966.500	0.1392481	
3966.000	0.1433028	
3965.500	0.1476482	
3965.000	0.1523037	
3964.500	0.157295	
3964.000	0.162621	
3963.500	0.168336	
3963.000	0.174458	
3962.500	0.1810373	
3962.000	0.1880767	
3961.500	0.1956154	
3961.000	0.203674	
3960.500	0.212249	
3960.000	0.2214102	
3959.500	0.2311787	
3959.000	0.2417348	
3958.500	0.2531179	
3958.000	0.2653961	
3957.500	0.2787149	
3957.000	0.2931364	
3956.500	0.3088085	
3956.000	0.3258506	
3955.500	0.3442317	
3955.000	0.3641701	
3954.500	0.3857857	
3954.000	0.4092893	
3953.500	0.4346881	
3953.000	0.4620829	
3952.500	0.4914431	
3952.000	0.5226622	
3951.500	0.555669	
3951.000	0.590165	
3950.500	0.6258199	
3950.000	0.6621275	
3949.500	0.6985866	
3949.000	0.7344987	
3948.500	0.7691364	
3948.000	0.8013911	
3947.500	0.8303835	
3947.000	0.8551534	
3946.500	0.875052	
3946.000	0.8892139	
3945.500	0.8972235	
3945.000	0.8988508	
3944.500	0.8940797	
3944.000	0.8832109	
3943.500	0.8666222	
3943.000	0.8446164	
3942.500	0.8181723	
3942.000	0.7879448	
3941.500	0.7549597	
3941.000	0.7200582	
3940.500	0.6841354	
3940.000	0.6479306	
3939.500	0.6121684	
3939.000	0.5774075	
3938.500	0.5439679	
3938.000	0.5120213	
3937.500	0.4816914	
3937.000	0.4530816	
3936.500	0.4261953	
3936.000	0.4010785	
3935.500	0.3776547	
3935.000	0.355757	
3934.500	0.3353434	
3934.000	0.3162708	
3933.500	0.2984774	
3933.000	0.2818373	
3932.500	0.2662954	
3932.000	0.2517636	
3931.500	0.2382998	
3931.000	0.2258439	
3930.500	0.2143145	
3930.000	0.2035852	
3929.500	0.1936375	
3929.000	0.1845043	
3928.500	0.1761129	
3928.000	0.1683447	
3927.500	0.1611298	
3927.000	0.1544375	
3926.500	0.1483285	
3926.000	0.1427277	
3925.500	0.1374724	
3925.000	0.1324062	
3924.500	0.1275563	
3924.000	0.123022	
3923.500	0.1188856	
3923.000	0.1150779	
3922.500	0.1114941	
3922.000	0.1080928	
3921.500	0.1048701	
3921.000	0.1018302	
3920.500	0.09892898	
3920.000	0.09613351	
3919.500	0.09343871	
3919.000	0.09083702	
3918.500	0.08831408	
3918.000	0.08584142	
3917.500	0.08342344	
3917.000	0.08108472	
3916.500	0.07881333	
3916.000	0.07655374	
3915.500	0.07427375	
3915.000	0.07203813	
3914.500	0.06996279	
3914.000	0.06810301	
3913.500	0.06640077	
3913.000	0.06477169	
3912.500	0.06321849	
3912.000	0.06177208	
3911.500	0.06045831	
3911.000	0.05933761	
3910.500	0.0584738	
3910.000	0.05779032	
3909.500	0.05711637	
3909.000	0.0564247	
3908.500	0.05591867	
3908.000	0.05580282	
3907.500	0.0559493	
3907.000	0.05606351	
3906.500	0.05606035	
3906.000	0.05614894	
3905.500	0.05651663	
3905.000	0.05702049	
3904.500	0.05735638	
3904.000	0.05738937	
3903.500	0.05721357	
3903.000	0.0569334	
3902.500	0.05652602	
3902.000	0.05588955	
3901.500	0.05501864	
3901.000	0.05400403	
3900.500	0.05289673	
3900.000	0.05162342	
