Wavenumbers	Absorbance	
2620.000	0.07444526	
2619.500	0.07365813	
2619.000	0.07288988	
2618.500	0.07214185	
2618.000	0.07142286	
2617.500	0.07074531	
2617.000	0.07011677	
2616.500	0.06953866	
2616.000	0.06901074	
2615.500	0.06852949	
2615.000	0.06808353	
2614.500	0.06766098	
2614.000	0.06726285	
2613.500	0.06690222	
2613.000	0.06658958	
2612.500	0.0663254	
2612.000	0.06610597	
2611.500	0.06592827	
2611.000	0.06578815	
2610.500	0.06568258	
2610.000	0.06561594	
2609.500	0.0655976	
2609.000	0.06563106	
2608.500	0.06571117	
2608.000	0.06583226	
2607.500	0.06599329	
2607.000	0.06619564	
2606.500	0.06644268	
2606.000	0.06674136	
2605.500	0.0670967	
2605.000	0.06750405	
2604.500	0.06795455	
2604.000	0.06844943	
2603.500	0.06900157	
2603.000	0.06962313	
2602.500	0.0703197	
2602.000	0.07109608	
2601.500	0.07195784	
2601.000	0.07290446	
2600.500	0.07393031	
2600.000	0.07503704	
2599.500	0.07623765	
2599.000	0.07754487	
2598.500	0.07896291	
2598.000	0.08049335	
2597.500	0.08214133	
2597.000	0.08391183	
2596.500	0.08580621	
2596.000	0.08782684	
2595.500	0.08998037	
2595.000	0.09227449	
2594.500	0.09471731	
2594.000	0.09732193	
2593.500	0.1001044	
2593.000	0.1030727	
2592.500	0.1062212	
2592.000	0.1095388	
2591.500	0.1130148	
2591.000	0.1166399	
2590.500	0.1204097	
2590.000	0.1243319	
2589.500	0.1284231	
2589.000	0.1326972	
2588.500	0.137162	
2588.000	0.1418247	
2587.500	0.1466908	
2587.000	0.1517587	
2586.500	0.1570256	
2586.000	0.1624966	
2585.500	0.1681695	
2585.000	0.1740081	
2584.500	0.1799432	
2584.000	0.1858966	
2583.500	0.1917864	
2583.000	0.1975085	
2582.500	0.2029458	
2582.000	0.2080028	
2581.500	0.2126132	
2581.000	0.2167106	
2580.500	0.2202274	
2580.000	0.2231359	
2579.500	0.2254615	
2579.000	0.227243	
2578.500	0.2285046	
2578.000	0.2292756	
2577.500	0.2295981	
2577.000	0.2294916	
2576.500	0.2289348	
2576.000	0.2278949	
2575.500	0.2263536	
2575.000	0.2242886	
2574.500	0.2216558	
2574.000	0.2184153	
2573.500	0.2145672	
2573.000	0.2101596	
2572.500	0.2052719	
2572.000	0.2000034	
2571.500	0.194467	
2571.000	0.1887823	
2570.500	0.1830671	
2570.000	0.1774276	
2569.500	0.1719502	
2569.000	0.1667001	
2568.500	0.1617268	
2568.000	0.1570623	
2567.500	0.152713	
2567.000	0.148663	
2566.500	0.1448885	
2566.000	0.1413659	
2565.500	0.1380658	
2565.000	0.1349541	
2564.500	0.132007	
2564.000	0.1292128	
2563.500	0.1265539	
2563.000	0.1239987	
2562.500	0.1215196	
2562.000	0.1191103	
2561.500	0.1167738	
2561.000	0.1145069	
2560.500	0.1123055	
2560.000	0.1101741	
2559.500	0.1081127	
2559.000	0.1061029	
2558.500	0.1041229	
2558.000	0.1021717	
2557.500	0.1002661	
2557.000	0.09841813	
2556.500	0.09662815	
2556.000	0.09489371	
2555.500	0.09320873	
2555.000	0.09155549	
2554.500	0.0899134	
2554.000	0.08827832	
2553.500	0.08666169	
2553.000	0.08507174	
2552.500	0.08350576	
2552.000	0.08195878	
2551.500	0.08042762	
2551.000	0.07890545	
2550.500	0.07738629	
2550.000	0.07587812	
2549.500	0.07440212	
2549.000	0.07297571	
2548.500	0.07160299	
2548.000	0.07028271	
2547.500	0.06901549	
2547.000	0.06780091	
2546.500	0.06663618	
2546.000	0.0655222	
2545.500	0.06446585	
2545.000	0.06347327	
2544.500	0.06254501	
2544.000	0.0616787	
2543.500	0.06087114	
2543.000	0.06011527	
2542.500	0.05939912	
2542.000	0.05870968	
2541.500	0.05803634	
2541.000	0.05737162	
2540.500	0.05671312	
2540.000	0.05606441	
2539.500	0.05543019	
2539.000	0.05481096	
2538.500	0.05420396	
2538.000	0.05360751	
2537.500	0.05302117	
2537.000	0.0524454	
2536.500	0.05188511	
2536.000	0.05135038	
2535.500	0.05084925	
2535.000	0.05038257	
2534.500	0.04994993	
2534.000	0.049556	
2533.500	0.04920601	
2533.000	0.04890012	
2532.500	0.0486387	
2532.000	0.04842864	
2531.500	0.04827654	
2531.000	0.04817888	
2530.500	0.04812654	
2530.000	0.04811684	
2529.500	0.04815297	
2529.000	0.04823394	
2528.500	0.04835283	
2528.000	0.04850291	
2527.500	0.0486774	
2527.000	0.04886515	
2526.500	0.049055	
2526.000	0.04924319	
2525.500	0.04942968	
2525.000	0.04960818	
2524.500	0.04976575	
2524.000	0.04988968	
2523.500	0.04996855	
2523.000	0.04999145	
2522.500	0.0499556	
2522.000	0.04987307	
2521.500	0.0497607	
2521.000	0.04962458	
2520.500	0.04946168	
2520.000	0.04927255	
2519.500	0.04906315	
2519.000	0.04883761	
2518.500	0.04859969	
2518.000	0.04835951	
2517.500	0.04812829	
2517.000	0.04790694	
2516.500	0.04768955	
2516.000	0.04747715	
2515.500	0.0472789	
2515.000	0.04710194	
2514.500	0.04695046	
2514.000	0.04683309	
2513.500	0.04675899	
2513.000	0.04672629	
2512.500	0.04672493	
2512.000	0.04675257	
2511.500	0.04681793	
2511.000	0.04692718	
2510.500	0.04707725	
2510.000	0.04726387	
2509.500	0.04748505	
2509.000	0.04773348	
2508.500	0.04799489	
2508.000	0.04825851	
2507.500	0.04852349	
2507.000	0.04879226	
2506.500	0.04906454	
2506.000	0.04934048	
2505.500	0.04962261	
2505.000	0.04991129	
2504.500	0.05020311	
2504.000	0.05049563	
2503.500	0.05079002	
2503.000	0.05108993	
2502.500	0.05140326	
2502.000	0.05174503	
2501.500	0.05213245	
2501.000	0.05257709	
2500.500	0.0530866	
2500.000	0.05367112	
2499.500	0.05434226	
2499.000	0.05510682	
2498.500	0.05596924	
2498.000	0.05693757	
2497.500	0.05801939	
2497.000	0.05921481	
2496.500	0.06052043	
2496.000	0.061938	
2495.500	0.06346834	
2495.000	0.06509664	
2494.500	0.06679059	
2494.000	0.06851131	
2493.500	0.07021777	
2493.000	0.07186341	
2492.500	0.07340305	
2492.000	0.0748027	
2491.500	0.07603502	
2491.000	0.07706706	
2490.500	0.07786397	
2490.000	0.07840667	
2489.500	0.07869671	
2489.000	0.07874843	
2488.500	0.07858656	
2488.000	0.07824734	
2487.500	0.0777672	
2487.000	0.07717065	
2486.500	0.07647785	
2486.000	0.07571853	
2485.500	0.07492891	
2485.000	0.0741384	
2484.500	0.07337019	
2484.000	0.07264939	
2483.500	0.07199753	
2483.000	0.07142457	
2482.500	0.07093817	
2482.000	0.07055777	
2481.500	0.07030992	
2481.000	0.0702141	
2480.500	0.07028597	
2480.000	0.07054844	
2479.500	0.07102487	
2479.000	0.07172465	
2478.500	0.07264541	
2478.000	0.07378373	
2477.500	0.07512743	
2477.000	0.0766411	
2476.500	0.07827409	
2476.000	0.07997953	
2475.500	0.08171407	
2475.000	0.08342515	
2474.500	0.08506202	
2474.000	0.08660142	
2473.500	0.08804514	
2473.000	0.08939521	
2472.500	0.09064863	
2472.000	0.09181044	
2471.500	0.09288517	
2471.000	0.09384987	
2470.500	0.09465388	
2470.000	0.09524852	
2469.500	0.09559752	
2469.000	0.09566323	
2468.500	0.0954093	
2468.000	0.09482339	
2467.500	0.0939213	
2467.000	0.0927276	
2466.500	0.0912751	
2466.000	0.08962471	
2465.500	0.08786588	
2465.000	0.08608996	
2464.500	0.0843726	
2464.000	0.08277948	
2463.500	0.08136402	
2463.000	0.08015511	
2462.500	0.07916117	
2462.000	0.07838734	
2461.500	0.0778377	
2461.000	0.07750034	
2460.500	0.07734539	
2460.000	0.07733856	
2459.500	0.07744442	
2459.000	0.07761907	
2458.500	0.07781418	
2458.000	0.07799117	
2457.500	0.07811888	
2457.000	0.07815865	
2456.500	0.07806799	
2456.000	0.07781698	
2455.500	0.07738411	
2455.000	0.07673791	
2454.500	0.07584072	
2454.000	0.0746735	
2453.500	0.07324414	
2453.000	0.07157339	
2452.500	0.06969137	
2452.000	0.06764595	
2451.500	0.06549549	
2451.000	0.0632889	
2450.500	0.06106267	
2450.000	0.05885677	
2449.500	0.05671589	
2449.000	0.05467217	
2448.500	0.05273985	
2448.000	0.0509255	
2447.500	0.04923234	
2447.000	0.04765535	
2446.500	0.04618468	
2446.000	0.04481614	
2445.500	0.04354933	
2445.000	0.04237727	
2444.500	0.04128941	
2444.000	0.04028435	
2443.500	0.03936937	
2443.000	0.03854774	
2442.500	0.03781647	
2442.000	0.03717537	
2441.500	0.03662765	
2441.000	0.03617327	
2440.500	0.03581205	
2440.000	0.03555196	
2439.500	0.03540365	
2439.000	0.03536722	
2438.500	0.03543485	
2438.000	0.03560401	
2437.500	0.03587719	
2437.000	0.03625011	
2436.500	0.03671221	
2436.000	0.03725833	
2435.500	0.03788805	
2435.000	0.03859533	
2434.500	0.03937098	
2434.000	0.04021449	
2433.500	0.04113077	
2433.000	0.04211523	
2432.500	0.04315496	
2432.000	0.04424461	
2431.500	0.04538952	
2431.000	0.04659376	
2430.500	0.04785835	
2430.000	0.04918977	
2429.500	0.05059529	
2429.000	0.05206928	
2428.500	0.05359565	
2428.000	0.05516291	
2427.500	0.05676263	
2427.000	0.05837527	
2426.500	0.05997327	
2426.000	0.06153498	
2425.500	0.06303905	
2425.000	0.06444743	
2424.500	0.06571327	
2424.000	0.06680613	
2423.500	0.06771319	
2423.000	0.0684191	
2422.500	0.068908	
2422.000	0.06918501	
2421.500	0.06927248	
2421.000	0.06918526	
2420.500	0.06893015	
2420.000	0.06852897	
2419.500	0.06801807	
2419.000	0.06742195	
2418.500	0.06674835	
2418.000	0.0660094	
2417.500	0.06522605	
2417.000	0.06440969	
2416.500	0.06356083	
2416.000	0.06268822	
2415.500	0.06181175	
2415.000	0.06094735	
2414.500	0.06010806	
2414.000	0.05932026	
2413.500	0.05861886	
2413.000	0.05802523	
2412.500	0.05754612	
2412.000	0.05719422	
2411.500	0.05699068	
2411.000	0.05694822	
2410.500	0.05707114	
2410.000	0.05737219	
2409.500	0.05786957	
2409.000	0.05856583	
2408.500	0.05944957	
2408.000	0.06051841	
2407.500	0.06178144	
2407.000	0.06323833	
2406.500	0.06487847	
2406.000	0.06670446	
2405.500	0.06873413	
2405.000	0.07097504	
2404.500	0.07341703	
2404.000	0.0760544	
2403.500	0.07889277	
2403.000	0.08192986	
2402.500	0.08515235	
2402.000	0.08855662	
2401.500	0.09214702	
2401.000	0.09590582	
2400.500	0.09978928	
2400.000	0.1037602	
2399.500	0.1078004	
2399.000	0.1118847	
2398.500	0.1159722	
2398.000	0.1200293	
2397.500	0.1240355	
2397.000	0.1279595	
2396.500	0.1317685	
2396.000	0.1354729	
2395.500	0.1391275	
2395.000	0.1427816	
2394.500	0.1464622	
2394.000	0.1502028	
2393.500	0.1540387	
2393.000	0.157957	
2392.500	0.1618922	
2392.000	0.165778	
2391.500	0.1695536	
2391.000	0.1731136	
2390.500	0.176307	
2390.000	0.1790009	
2389.500	0.1810951	
2389.000	0.1824724	
2388.500	0.1830208	
2388.000	0.1827261	
2387.500	0.1816542	
2387.000	0.1798915	
2386.500	0.1775056	
2386.000	0.1746336	
2385.500	0.171464	
2385.000	0.1681484	
2384.500	0.1648441	
2384.000	0.161704	
2383.500	0.1589508	
2383.000	0.1566682	
2382.500	0.1549174	
2382.000	0.1536597	
2381.500	0.1529037	
2381.000	0.1525286	
2380.500	0.1524004	
2380.000	0.1523706	
2379.500	0.1523154	
2379.000	0.1521453	
2378.500	0.1516596	
2378.000	0.1509019	
2377.500	0.1497543	
2377.000	0.1484236	
2376.500	0.1467554	
2376.000	0.1449704	
2375.500	0.1430877	
2375.000	0.1411951	
2374.500	0.1394309	
2374.000	0.1375305	
2373.500	0.1358332	
2373.000	0.1339647	
2372.500	0.1322265	
2372.000	0.1304194	
2371.500	0.1284865	
2371.000	0.1266809	
2370.500	0.1246066	
2370.000	0.1227123	
2369.500	0.1207103	
2369.000	0.1186534	
2368.500	0.1167864	
2368.000	0.1149048	
2367.500	0.1133048	
