Wavelength,Abs
1800,0.074234709
1799.5,0.07407473
1799,0.073846072
1798.5,0.073509023
1798,0.073244073
1797.5,0.073028319
1797,0.072837286
1796.5,0.072638534
1796,0.0724492
1795.5,0.072256282
1795,0.072052136
1794.5,0.071851969
1794,0.071685299
1793.5,0.071501598
1793,0.071368493
1792.5,0.071232721
1792,0.071026132
1791.5,0.070837773
1791,0.070712641
1790.5,0.070503317
1790,0.07035695
1789.5,0.070188232
1789,0.069982536
1788.5,0.06984023
1788,0.069729425
1787.5,0.069542028
1787,0.069413833
1786.5,0.069264159
1786,0.069161393
1785.5,0.069012046
1785,0.068895295
1784.5,0.068781853
1784,0.068694457
1783.5,0.06854105
1783,0.068429433
1782.5,0.068284392
1782,0.06814985
1781.5,0.068015344
1781,0.067923352
1780.5,0.067813858
1780,0.06768167
1779.5,0.067558654
1779,0.067449942
1778.5,0.067336336
1778,0.067277394
1777.5,0.067156181
1777,0.067083552
1776.5,0.066973299
1776,0.066877179
1775.5,0.066810936
1775,0.066710532
1774.5,0.066586465
1774,0.066511065
1773.5,0.066469669
1773,0.066352069
1772.5,0.06628032
1772,0.066213235
1771.5,0.066098563
1771,0.066030569
1770.5,0.065967947
1770,0.065874971
1769.5,0.06582021
1769,0.065787919
1768.5,0.06572777
1768,0.065657638
1767.5,0.065595374
1767,0.065521106
1766.5,0.065434337
1766,0.065392293
1765.5,0.065338641
1765,0.06523665
1764.5,0.065197214
1764,0.065140463
1763.5,0.065058306
1763,0.065022312
1762.5,0.064938433
1762,0.064879037
1761.5,0.064866327
1761,0.064791128
1760.5,0.0647588
1760,0.064705282
1759.5,0.064658239
1759,0.06462054
1758.5,0.064541124
1758,0.064521752
1757.5,0.064509407
1757,0.064435624
1756.5,0.064419746
1756,0.064352341
1755.5,0.064284168
1755,0.064252809
1754.5,0.064194165
1754,0.064161547
1753.5,0.064108282
1753,0.064056978
1752.5,0.064011924
1752,0.063991524
1751.5,0.063924372
1751,0.063871473
1750.5,0.063827209
1750,0.063803703
1749.5,0.063768536
1749,0.063683793
1748.5,0.063657507
1748,0.063575715
1747.5,0.063565619
1747,0.063519537
1746.5,0.063475698
1746,0.063447542
1745.5,0.063404009
1745,0.063342519
1744.5,0.063283429
1744,0.063242048
1743.5,0.063216478
1743,0.063188508
1742.5,0.063140877
1742,0.06309256
1741.5,0.063052394
1741,0.063010342
1740.5,0.063015491
1740,0.063012078
1739.5,0.062956117
1739,0.062941752
1738.5,0.062944718
1738,0.062940471
1737.5,0.062913924
1737,0.062929817
1736.5,0.062933229
1736,0.062938973
1735.5,0.062908657
1735,0.062919639
1734.5,0.062905103
1734,0.062965244
1733.5,0.062982179
1733,0.063002743
1732.5,0.063075833
1732,0.063120313
1731.5,0.063170396
1731,0.063201025
1730.5,0.063305773
1730,0.063384779
1729.5,0.063460961
1729,0.063552223
1728.5,0.063617431
1728,0.063724466
1727.5,0.063789316
1727,0.063834228
1726.5,0.063920923
1726,0.063917652
1725.5,0.06401813
1725,0.064056441
1724.5,0.064144023
1724,0.064244732
1723.5,0.064245366
1723,0.064275019
1722.5,0.064321063
1722,0.064310856
1721.5,0.064282969
1721,0.064273186
1720.5,0.064246714
1720,0.064232759
1719.5,0.064171359
1719,0.064097121
1718.5,0.064005747
1718,0.063896179
1717.5,0.063855335
1717,0.063740417
1716.5,0.06361372
1716,0.06349808
1715.5,0.063392363
1715,0.063251689
1714.5,0.063145697
1714,0.063017882
1713.5,0.0628867
1713,0.062771343
1712.5,0.062677793
1712,0.062508263
1711.5,0.062417459
1711,0.062310625
1710.5,0.062253829
1710,0.062173262
1709.5,0.062073298
1709,0.061979655
1708.5,0.061946396
1708,0.061866693
1707.5,0.061864931
1707,0.061796285
1706.5,0.061752237
1706,0.061751191
1705.5,0.061713893
1705,0.061715562
1704.5,0.061702941
1704,0.061655205
1703.5,0.061692648
1703,0.061679907
1702.5,0.06169381
1702,0.061711982
1701.5,0.061761726
1701,0.061776228
1700.5,0.06182792
1700,0.06183771
1699.5,0.061863262
1699,0.061902095
1698.5,0.061930783
1698,0.061983865
1697.5,0.062028386
1697,0.062076762
1696.5,0.062093634
1696,0.062185749
1695.5,0.062219176
1695,0.062280957
1694.5,0.062309969
1694,0.062350187
1693.5,0.062408254
1693,0.062424421
1692.5,0.062475443
1692,0.062544405
1691.5,0.06256976
1691,0.062635809
1690.5,0.062690176
1690,0.062777177
1689.5,0.062851489
1689,0.062930949
1688.5,0.062920332
1688,0.063008279
1687.5,0.063061729
1687,0.063104264
1686.5,0.063226357
1686,0.063242346
1685.5,0.063292295
1685,0.063349076
1684.5,0.063399881
1684,0.063457064
1683.5,0.063525409
1683,0.063669406
1682.5,0.063694552
1682,0.063787788
1681.5,0.063861847
1681,0.063904576
1680.5,0.064034663
1680,0.064108491
1679.5,0.064173877
1679,0.064282641
1678.5,0.064402662
1678,0.064489074
1677.5,0.064578004
1677,0.064672865
1676.5,0.064812742
1676,0.064914659
1675.5,0.06501215
1675,0.065178268
1674.5,0.065270104
1674,0.065415792
1673.5,0.065566294
1673,0.065734036
1672.5,0.065864123
1672,0.066034004
1671.5,0.066216551
1671,0.066313252
1670.5,0.066480987
1670,0.066641204
1669.5,0.066784613
1669,0.066972516
1668.5,0.067165427
1668,0.067339748
1667.5,0.067536727
1667,0.067753732
1666.5,0.067948505
1666,0.068132132
1665.5,0.068407916
1665,0.068619624
1664.5,0.068781033
1664,0.069068246
1663.5,0.069238469
1663,0.069514953
1662.5,0.069757149
1662,0.069981284
1661.5,0.070256054
1661,0.070451953
1660.5,0.070689373
1660,0.070942886
1659.5,0.071190998
1659,0.071446151
1658.5,0.071698092
1658,0.071954705
1657.5,0.072208285
1657,0.072475903
1656.5,0.072753474
1656,0.073014572
1655.5,0.073279344
1655,0.073556393
1654.5,0.073801525
1654,0.074059807
1653.5,0.074307404
1653,0.074549057
1652.5,0.074820302
1652,0.07509508
1651.5,0.075387083
1651,0.075626254
1650.5,0.075921051
1650,0.076166473
1649.5,0.076449998
1649,0.076690532
1648.5,0.076930821
1648,0.07716649
1647.5,0.07743229
1647,0.077674389
1646.5,0.077911511
1646,0.078153692
1645.5,0.078376226
1645,0.078596205
1644.5,0.07885962
1644,0.079075746
1643.5,0.079316311
1643,0.079537041
1642.5,0.079746567
1642,0.079953082
1641.5,0.080148399
1641,0.080337688
1640.5,0.080529064
1640,0.080742903
1639.5,0.080880187
1639,0.081067368
1638.5,0.081213683
1638,0.081360549
1637.5,0.081546091
1637,0.081680723
1636.5,0.081841841
1636,0.081979632
1635.5,0.082119778
1635,0.082233317
1634.5,0.082384221
1634,0.08250346
1633.5,0.082615912
1633,0.082734309
1632.5,0.082809202
1632,0.082915209
1631.5,0.083032466
1631,0.083126031
1630.5,0.083219111
1630,0.083313681
1629.5,0.08337374
1629,0.083412789
1628.5,0.083474584
1628,0.083526574
1627.5,0.083568245
1627,0.083626293
1626.5,0.083701774
1626,0.083749838
1625.5,0.083798938
1625,0.08382123
1624.5,0.083894826
1624,0.083955437
1623.5,0.083981633
1623,0.084080264
1622.5,0.084078476
1622,0.084179521
1621.5,0.08424972
1621,0.084317483
1620.5,0.084418833
1620,0.084460057
1619.5,0.084543861
1619,0.084614061
1618.5,0.084713809
1618,0.084816419
1617.5,0.084948547
1617,0.085073628
1616.5,0.085257493
1616,0.085434496
1615.5,0.085587554
1615,0.085810713
1614.5,0.086082019
1614,0.086320713
1613.5,0.086607285
1613,0.086895153
1612.5,0.087211184
1612,0.087541625
1611.5,0.087915488
1611,0.088348523
1610.5,0.088777728
1610,0.089239344
1609.5,0.089728847
1609,0.090308361
1608.5,0.090885319
1608,0.091507919
1607.5,0.092176408
1607,0.092850544
1606.5,0.093550831
1606,0.094340801
1605.5,0.095182419
1605,0.096043691
1604.5,0.096914664
1604,0.097871862
1603.5,0.098776445
1603,0.099800974
1602.5,0.100788459
1602,0.101922222
1601.5,0.102939315
1601,0.104056485
1600.5,0.105143517
1600,0.106230542
1599.5,0.107328475
1599,0.108488739
1598.5,0.109610923
1598,0.11073602
1597.5,0.111797132
1597,0.112920761
1596.5,0.114004962
1596,0.115129203
1595.5,0.116172358
1595,0.117246985
1594.5,0.118258745
1594,0.119169653
1593.5,0.120164707
1593,0.121052399
1592.5,0.121965975
1592,0.122814558
1591.5,0.123592928
1591,0.124348871
1590.5,0.125021204
1590,0.125723302
1589.5,0.126301125
1589,0.126837909
1588.5,0.127363235
1588,0.127737582
1587.5,0.128109723
1587,0.128400579
1586.5,0.128677815
1586,0.128872559
1585.5,0.128993988
1585,0.129093573
1584.5,0.129112601
1584,0.129059568
1583.5,0.12898919
1583,0.128811762
1582.5,0.12866576
1582,0.128436208
1581.5,0.128191605
1581,0.127915755
1580.5,0.127534494
1580,0.127198339
1579.5,0.126810938
1579,0.126378059
1578.5,0.126019627
1578,0.12562342
1577.5,0.12519829
1577,0.124766819
1576.5,0.124337219
1576,0.123951741
1575.5,0.123635903
1575,0.123319946
1574.5,0.122960553
1574,0.122680903
1573.5,0.122455172
1573,0.122237377
1572.5,0.122067176
1572,0.12196625
1571.5,0.121832103
1571,0.121818803
1570.5,0.121812567
1570,0.121836864
1569.5,0.121950887
1569,0.122093856
1568.5,0.122300252
1568,0.122554705
1567.5,0.122845717
1567,0.12320666
1566.5,0.123593576
1566,0.124054648
1565.5,0.124499865
1565,0.125057131
1564.5,0.125664741
1564,0.126329899
1563.5,0.12701273
1563,0.127778024
1562.5,0.12852779
1562,0.129325882
1561.5,0.130224794
1561,0.131106213
1560.5,0.132098228
1560,0.13309595
1559.5,0.134072393
1559,0.13517724
1558.5,0.136274591
1558,0.137458801
1557.5,0.138621047
1557,0.139903843
1556.5,0.141127303
1556,0.142278612
1555.5,0.143656194
1555,0.144953296
1554.5,0.146342337
1554,0.14773427
1553.5,0.149116293
1553,0.150506184
1552.5,0.151892632
1552,0.1533961
1551.5,0.154851496
1551,0.156315833
1550.5,0.15784885
1550,0.159195483
1549.5,0.160669729
1549,0.162093803
1548.5,0.163610652
1548,0.165082127
1547.5,0.166465655
1547,0.1679205
1546.5,0.169187293
1546,0.170673132
1545.5,0.172021955
1545,0.173415721
1544.5,0.174792841
1544,0.176072493
1543.5,0.177373529
1543,0.178618237
1542.5,0.179980636
1542,0.181159467
1541.5,0.182414338
1541,0.183611378
1540.5,0.184723616
1540,0.185891226
1539.5,0.186983287
1539,0.188081905
1538.5,0.18912676
1538,0.190164864
1537.5,0.191131175
1537,0.192104116
1536.5,0.193110377
1536,0.194023162
1535.5,0.194975436
1535,0.195857987
1534.5,0.196707532
1534,0.197510183
1533.5,0.198296756
1533,0.199121311
1532.5,0.199825242
1532,0.200529963
1531.5,0.201267988
1531,0.201910645
1530.5,0.20258899
1530,0.203251213
1529.5,0.203894854
1529,0.204430312
1528.5,0.205042586
1528,0.205549672
1527.5,0.206003547
1527,0.206446707
1526.5,0.206850633
1526,0.207252726
1525.5,0.207552359
1525,0.207854465
1524.5,0.208146647
1524,0.208303019
1523.5,0.208508149
